Sample	fastqc_percent_duplicates	fastqc_percent_gc	fastqc_avg_sequence_length	fastqc_total_sequences
temp | CRR214554.merged	96.2750221339	51.0	458.386037271	46309.0
temp | CRR214555.merged	96.052869272	51.0	455.743451557	33214.0
temp | CRR214556.merged	95.2131691997	51.0	458.176564023	27701.0
temp | CRR214557.merged	95.357299956	51.0	455.486803695	50014.0
temp | CRR214558.merged	97.1971552052	54.0	456.011521614	102503.0
temp | CRR214559.merged	96.2716893504	52.0	452.55150616	46509.0
temp | CRR214560.merged	97.6548288697	52.0	471.795791006	35733.0
temp | CRR214561.merged	94.9067758072	52.0	452.652884178	28587.0
temp | CRR214562.merged	96.5731478587	52.0	451.972856101	76776.0
temp | CRR214563.merged	97.083945861	52.0	453.911365134	78908.0
temp | CRR214564.merged	95.0972478975	52.0	452.147733486	38407.0
temp | CRR214565.merged	95.7299172671	52.0	454.752150438	48711.0
temp | CRR214566.merged	96.3660035175	52.0	452.311116694	43781.0
temp | CRR214567.merged	96.2402079347	51.0	459.135139526	55402.0
temp | CRR214568.merged	96.1289965296	53.0	450.867957616	54172.0
temp | CRR214569.merged	96.7919092491	53.0	450.839985595	66644.0
temp | CRR214570.merged	97.9041712568	52.0	470.822772587	73527.0
temp | CRR214571.merged	96.4557604466	52.0	457.630676463	82754.0
temp | CRR214572.merged	95.3427128427	54.0	451.484776335	27720.0
temp | CRR214573.merged	96.8535728791	52.0	458.87813269	41857.0
temp | CRR214574.merged	96.7083751144	53.0	451.794229847	91748.0
temp | CRR214575.merged	96.1127111163	51.0	455.766429802	69097.0
temp | CRR214576.merged	96.9342758017	51.0	459.174815992	61682.0
temp | CRR214577.merged	96.2235855487	51.0	456.343928328	51345.0
temp | CRR214578.merged	95.8123725357	53.0	466.022895989	36775.0
temp | CRR214579.merged	95.6289858344	52.0	460.238416389	35438.0
temp | CRR214580.merged	95.98486626	52.0	458.549448616	34096.0
temp | CRR214581.merged	96.3379300518	51.0	454.981111762	63161.0
temp | CRR214582.merged	96.3523919104	52.0	457.066203478	90388.0
temp | CRR214583.merged	96.018018018	52.0	451.700840841	33300.0
temp | CRR214584.merged	96.2872975277	52.0	456.175852515	46920.0
temp | CRR214585.merged	96.4962907507	52.0	457.297828898	73465.0
temp | CRR214586.merged	96.9217311934	53.0	457.602449228	131470.0
